ticker,secShortName,outstanding,totals
002444,巨星科技,10.12,10.75
002445,中南文化,12.99,14.11
002446,盛路通信,4.22,7.62
002447,晨鑫科技,13.27,14.27
002448,中原内配,4.62,6.07
002449,国星光电,6.08,6.18
002450,康得新,28.93,35.41
002451,摩恩电气,4.16,4.39
002452,长高集团,3.7,5.29
002453,华软科技,5.55,5.71
002454,松芝股份,6.17,6.32
002455,百川股份,3.16,5.17
002456,欧菲科技,26.58,27.13
002457,青龙管业,3.34,3.35
002458,益生股份,1.79,3.37
002459,天业通联,3.87,3.89
002460,赣锋锂业,7.86,11.15
002461,珠江啤酒,13.6,22.13
002462,嘉事堂,2.49,2.51
002463,沪电股份,16.74,17.19
002464,众应互联,2.83,3.26
002465,海格通信,20.71,23.07
002466,天齐锂业,11.35,11.42
002467,二六三,6.46,7.87
002468,申通快递,3.32,15.31
002469,三维工程,4.63,5.03
002470,金正大,27.26,31.58
002471,中超控股,12.57,12.68
002472,双环传动,5.45,6.87
002473,*ST圣莱,1.6,1.6
002474,榕基软件,4.69,6.22
002475,立讯精密,41.1,41.15
002476,宝莫股份,5.86,6.12
002477,雏鹰农牧,19.71,31.35
002478,常宝股份,6.14,9.87
002479,富春环保,7.95,8.94
002480,新筑股份,6.39,6.56
002481,双塔食品,11.27,12.63
002482,广田集团,13.13,15.37
002483,润邦股份,6.71,6.72
002484,江海股份,7.64,8.15
002485,希努尔,5.44,5.44
002486,嘉麟杰,8.19,8.32
002487,大金重工,5.4,5.52
002488,金固股份,5.12,6.74
002489,浙江永强,18.7,21.76
002490,山东墨龙,2.89,7.98
002491,通鼎互联,11.76,12.62
002492,恒基达鑫,3.98,4.05
002493,荣盛石化,51.26,62.91
002494,华斯股份,2.95,3.86
002495,佳隆股份,6.82,9.36
002496,ST辉丰,9.47,15.07
002497,雅化集团,8.15,9.6
002498,汉缆股份,33.26,33.27
002499,科林环保,1.89,1.89
002500,山西证券,28.29,28.29
002501,利源精制,10.01,12.15
002502,骅威文化,5.41,8.6
002503,搜于特,19.54,30.93
002504,弘高创意,4.15,10.26
002505,大康农业,54.85,54.85
002506,协鑫集成,25.24,50.62
002507,涪陵榨菜,7.72,7.89
002508,老板电器,9.35,9.49
002509,天广中茂,19.48,24.92
002510,天汽模,7.74,8.96
002511,中顺洁柔,12.57,12.88
002512,达华智能,6.93,10.95
002513,蓝丰生化,2.54,3.4
002514,宝馨科技,3.88,5.54
002515,金字火腿,8.49,9.78
002516,旷达科技,9.43,15.02
002517,恺英网络,8.74,21.53
002518,科士达,5.54,5.89
002519,银河电子,8.32,11.26
002520,日发精机,4.97,5.54
002521,齐峰新材,4.25,4.95
002522,浙江众成,8.48,9.06
002523,天桥起重,13.5,14.17
002524,光正集团,5.01,5.03
002526,山东矿机,8.88,10.49
002527,新时达,4.22,6.2
002528,英飞拓,8.64,11.99
002529,海源复材,2.0,2.6
002530,金财互联,3.39,7.85
002531,天顺风能,17.69,17.79
002532,新界泵业,3.78,5.03
002533,金杯电工,5.18,5.53
002534,杭锅股份,7.27,7.39
002535,林州重机,5.9,8.02
002536,西泵股份,3.14,3.34
002537,海联金汇,12.08,12.51
002538,司尔特,6.98,7.18
002539,云图控股,6.06,10.1
002540,亚太科技,7.19,12.71
002541,鸿路钢构,3.71,5.24
002542,中化岩土,8.78,18.11
002543,万和电气,4.85,5.72
002544,杰赛科技,5.12,5.71
002545,东方铁塔,6.18,12.91
002546,新联电子,7.8,8.34
002547,春兴精工,7.98,11.28
002548,金新农,3.07,3.75
002549,凯美特气,6.2,6.24
002550,千红制药,9.04,12.8
002551,尚荣医疗,4.08,7.06
002552,*ST宝鼎,2.0,3.06
002553,南方轴承,2.34,3.48
002554,惠博普,7.69,10.71
002555,三七互娱,11.82,21.25
002556,辉隆股份,6.99,7.18
002557,洽洽食品,5.07,5.07
002558,巨人网络,4.27,20.24
002559,亚威股份,3.07,3.73
002560,通达股份,2.71,4.29
002561,徐家汇,3.97,4.16
002562,兄弟科技,4.96,8.66
002563,森马服饰,18.39,27.0
002564,天沃科技,6.02,8.83
002565,顺灏股份,6.85,7.09
002566,益盛药业,2.26,3.31
002567,唐人神,6.49,8.37
002568,百润股份,4.59,5.32
002569,步森股份,1.4,1.4
002570,*ST因美,10.22,10.23
002571,德力股份,2.53,3.92
002572,索菲亚,6.38,9.23
002573,清新环境,10.79,10.81
002574,明牌珠宝,5.28,5.28
002575,群兴玩具,5.89,5.89
002576,通达动力,1.45,1.65
002577,雷柏科技,2.81,2.83
002578,闽发铝业,5.63,9.88
002579,中京电子,3.52,3.78
002580,圣阳股份,2.98,3.54
002581,未名医药,4.01,6.6
002582,好想你,2.47,5.16
002583,海能达,10.51,18.16
002584,西陇科学,2.79,5.85
002585,双星新材,8.52,11.56
002586,围海股份,6.94,11.44
002587,奥拓电子,3.93,6.11
002588,史丹利,7.3,11.57
002589,瑞康医药,10.85,15.05
002590,万安科技,4.34,4.8
002591,恒大高新,1.82,3.08
002592,八菱科技,2.09,2.83
002593,日上集团,4.66,7.01
002594,比亚迪,11.42,27.28
002595,豪迈科技,5.28,8.0
002596,海南瑞泽,7.26,10.74
002597,金禾实业,5.6,5.64
002598,山东章鼓,2.7,3.12
002599,盛通股份,1.91,3.25
002600,领益智造,13.21,67.84
002601,龙蟒佰利,7.06,20.32
002602,世纪华通,7.98,14.59
002603,以岭药业,9.89,12.06
002604,*ST龙力,5.08,6.0
002605,姚记扑克,2.67,3.97
002606,大连电瓷,4.03,4.07
002607,亚夏汽车,7.05,8.2
002608,江苏国信,5.39,37.78
002609,捷顺科技,3.67,6.66
002610,爱康科技,42.23,44.9
002611,东方精工,10.28,18.39
002612,朗姿股份,2.03,4.0
002613,北玻股份,6.3,9.37
002614,奥佳华,2.89,5.62
002615,哈尔斯,2.3,4.1
002616,长青集团,4.59,7.42
002617,露笑科技,10.47,11.02
002618,丹邦科技,5.48,5.48
002619,艾格拉斯,13.97,18.45
002620,瑞和股份,3.04,3.63
002621,三垒股份,2.7,3.38
002622,融钰集团,8.4,8.4
002623,亚玛顿,1.6,1.6
002624,完美世界,4.66,13.15
002625,光启技术,4.27,21.55
002626,金达威,6.0,6.16
002627,宜昌交运,2.25,3.15
002628,成都路桥,7.25,7.37
002629,仁智股份,3.45,4.12
002630,华西能源,9.7,11.81
002631,德尔未来,6.47,6.68
002632,道明光学,5.54,6.26
002633,申科股份,1.49,1.5
002634,棒杰股份,2.7,4.61
002635,安洁科技,3.19,7.38
002636,金安国纪,2.46,7.28
002637,赞宇科技,2.55,4.22
002638,勤上股份,9.79,15.19
002639,雪人股份,5.16,6.74
002640,跨境通,9.86,15.58
002641,永高股份,8.96,11.23
002642,荣之联,5.15,6.62
002643,万润股份,8.92,9.09
002644,佛慈制药,5.11,5.11
002645,华宏科技,2.53,3.56
002646,青青稞酒,4.5,4.5
002647,仁东控股,5.6,5.6
002648,卫星石化,10.36,10.66
002649,博彦科技,4.08,5.26
002650,加加食品,9.47,11.52
002651,利君股份,4.18,10.03
002652,扬子新材,5.1,5.12
002653,海思科,4.55,10.8
002654,万润科技,5.75,9.03
002655,共达电声,3.6,3.6
002656,摩登大道,4.72,7.13
002657,中科金财,2.76,3.38
002658,雪迪龙,3.05,6.05
002659,凯文教育,3.11,4.99
002660,茂硕电源,2.11,2.74
002661,克明面业,3.27,3.34
002662,京威股份,14.59,15.0
002663,普邦股份,12.16,17.96
002664,长鹰信质,3.5,4.0
002665,首航节能,16.89,25.39
002666,德联集团,4.43,7.54
002667,鞍重股份,1.64,2.31
002668,奥马电器,6.54,10.84
002669,康达新材,2.29,2.41
